STATION,ADDRESS,LOCALITY,ALTADDRESS,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
CEDAR POCKET AND GREENS CREEK RURAL,CEDAR POCKET ROAD,CEDAR POCKET ,,152.74723423300009,-26.197377091999954,152.74724045403286,-26.197364499076702
CHAMBERS FLAT RURAL,KENNY ROAD,CHAMBERS FLAT ,,153.0923742450001,-27.757543600999952,153.0923802354994,-27.757531054994104
CHATSWORTH RURAL,ALLEN ROAD,CHATSWORTH ,,152.6153184090001,-26.141021630999944,152.6153246502434,-26.141009024564188
CHILLAGOE RURAL,KING STREET,CHILLAGOE ,,144.52423834700005,-17.15752757599995,144.52424611081318,-17.157514229140304
CLAGIRABA RURAL,177 CLAGIRABA ROAD,CLAGIRABA ,,153.2569060080001,-27.995561632999966,153.2569119500991,-27.995549105479203
CLAIRVIEW RURAL,COLONIAL DRIVE,CLAIRVIEW ,,149.5360280000001,-22.12043099999994,149.53603496953917,-22.12041807557584
COALSTOUN LAKES RURAL,CORNER OF ISIS HIGHWAY AND GLENVIEW ROAD,COALSTOUN LAKES ,,151.88927979200002,-25.61549467499998,151.8892861685013,-25.615481993685922
COLOSSEUM RURAL,CORNER OF ROE STREET AND JINKS STREET,MIRIAM VALE ,,151.55838000000006,-24.326769999999954,151.5583865560036,-24.32675727669363
COMET RURAL,SHAKESPEARE STREET,COMET ,,148.54568577500004,-23.604988085999935,148.54569268621253,-23.60497509031272
CONDAMINE RURAL,WAMBO STREET,CONDAMINE ,,150.13657780200003,-26.925466968999956,150.1365842105155,-26.92545413622006
COOBERRIE RURAL,302 WOODBURY ROAD,YEPPOON ,,150.69418000000007,-23.053069999999934,150.6941867737209,-23.05305718602011
COOMERA VALLEY RURAL,GAWLER PLACE,UPPER COOMERA ,,153.2851733130001,-27.89852744899997,153.2851792644775,-27.898514923582105
COOMINYA RURAL,RAILWAY STREET,COOMINYA ,,152.50180070900012,-27.39056076299994,152.5018068092815,-27.390548155344362
COORANGA NORTH RURAL,CORNER OF IRONPOT ROAD AND JANDOWAE ROAD,BELL ,,151.40539,-26.765549999999962,151.40539629189223,-26.76553728197592
COOWONGA RURAL,COOWONGA ROAD,COOWONGA ,,150.73123288700003,-23.30427181699997,150.73123963066877,-23.304259008478144
COOYAR TOWN RURAL,CORNER OF FERGUS STREET AND MUNRO STREET,COOYAR ,,151.83207442000003,-26.98124060699996,151.83208064138577,-26.981227931144183
COPPABELLA RURAL,MATHIESON STREET,COPPABELLA ,,148.36218304200008,-21.90353272699997,148.36219013151234,-21.903519702254567
COVERTY RURAL,202 COVERTY ROAD,COVERTY ,,151.50301313500006,-26.29090678199998,151.50301947195882,-26.29089406938472
CRACOW RURAL,CORNER OF THIRD AVENUE AND SIXTH AVENUE,CRACOW ,,150.30075255400004,-25.293700814999966,150.30075912419716,-25.293687983854056
CRANKS AVENUE RURAL,27 LUTHJE ROAD,MONTO ,,151.12598233800009,-24.87027391099997,151.12598887413526,-24.870261151644375
CROYDON RURAL,CORNER OF BROWN STREET AND SIRCOM STREET,CROYDON ,,142.24250863500004,-18.202451026999938,142.2425164832989,-18.202437550334977
CRYSTAL WATERS VILLAGE RURAL,KILCOY LANE,CRYSTAL WATERS ,,152.718441277,-26.781641374999936,152.71844742940723,-26.781628783900935
CUNGULLA RURAL,"FRANK RANDELL DRIVE, FRANK RANDELL DRIVE, CUNGULLA QLD 4816",CUNGULLA ,,147.10729499100012,-19.39622892899996,147.10730240280873,-19.396215784193192
CURRA RURAL,DAVID DRIVE,CURRA ,,152.57934892800006,-26.083498534999933,152.5793551798418,-26.08348592455225
CURRUMBIN VALLEY RURAL,6 BRAEWOOD DRIVE,CURRUMBIN VALLEY ,,153.38989992000006,-28.21449658399996,153.38990581916664,-28.214484071702593
CURTIS ISLAND RURAL,TURTLE STREET,CURTIS ISLAND ,,151.31013062300008,-23.756742264999957,151.31013726540348,-23.756729513666773
DAINTREE RURAL,CORNER OF DOUGLAS ROAD AND OSBORNE ROAD,DAINTREE ,,145.32176641400008,-16.250605150999945,145.32177419369253,-16.25059184992281
DAJARRA TOWN RURAL,CARMODY STREET,DAJARRA ,,139.51624900000002,-21.69474699999995,139.51625686678662,-21.69473341416626
DALMA RURAL,2070 STAWELL-WAROULA ROAD,DALMA ,,150.24526000000003,-23.347869999999944,150.2452667825411,-23.347857148010377
DALRYMPLE HEIGHTS RURAL,1 NORTH STREET,EUNGELLA ,,148.49389662400006,-21.13102865099995,148.49390377481808,-21.131015630576744
DAYBORO AND DISTRICT RURAL,LACEY'S CREEK ROAD,DAYBORO ,,152.80619000000002,-27.188199999999938,152.80619609286106,-27.188187420851957
DELANEYS CREEK RURAL,2 DASHER COURT,DELANEYS CREEK ,,152.78794100000005,-27.002569999999935,152.78794711784207,-27.002557417562052
DINGO TOWN RURAL,CAIRNS STREET,DINGO ,,149.3310188160001,-23.643608779999965,149.33102565115558,-23.643595850558338
DOONAN RURAL,"LOT 143,  EUMUNDI - NOOSA ROAD",DOONAN ,,153.02183958000012,-26.44685503599993,153.02184574241195,-26.44684247248651
DUARINGA TOWN RURAL,CNR MARY AND EDWARD ST,DUARINGA ,,149.66879763600002,-23.718696385999976,149.66880443249298,-23.718683486298698
DULULU RURAL,CORNER OF BURNETT HIGHWAY AND BRYANT STREET,DULULU ,,150.2626853480001,-23.847482209999953,150.26269207644842,-23.847469363680126
DUMBLETON RURAL,SUGAR SHED ROAD,DUMBLETON ,,149.0953767100001,-21.11455867999996,149.09538381405025,-21.11454570951737
DUNDOWRAN RURAL,LOWER MOUNTAIN ROAD,DUNDOWRAN ,,152.76424047900002,-25.29485384999998,152.7642468075907,-25.294841251459452
DUNMORA RURAL,OLD GAYNDAH ROAD,DUNMORA ,,152.57149592500002,-25.51779451799996,152.57150224567138,-25.517781902205225
DURONG RURAL,8929 WONDAI - CHINCHILLA ROAD,DURONG ,,151.24395618300002,-26.394976104999955,151.24396253467862,-26.394963368909707
EAST BOORAL RURAL,"LOT 15,  OSLOVE DRIVE",BOORAL ,,152.91264017800006,-25.36232530899997,152.91264648404652,-25.362312725788097
CALAVOS RURAL,100 WELCH STREET,ELLIOTT HEADS ,,152.48877440100011,-24.908869697999933,152.48878080206225,-24.908857069107306
ETON RURAL,18 BARRIER STREET,ETON ,,148.97366044300009,-21.265427519999946,148.97366754240036,-21.265414540532472
EUDLO RURAL,"LOT 50, ROSEBED STREET",EUDLO ,,152.9570256730001,-26.725342557999966,152.95703180756186,-26.72532999022089
EUKEY RURAL,EUKEY ROAD,EUKEY ,,151.97304321000001,-28.775051849999954,151.97304919776383,-28.775039201712136
EUMUNDI RURAL,150 NAPIER ROAD,EUMUNDI ,,152.95256854700006,-26.476017041999967,152.95257471289884,-26.476004471779053
EURONG RURAL,JARVIS STREET,EURONG ,,153.12476807500002,-25.511537318999956,153.12477434222092,-25.511524758279087
FERNVALE RURAL,BRISBANE VALLEY HIGHWAY,FERNVALE ,,152.65342437100003,-27.456492861999948,152.6534304468165,-27.45648026981857
FINCH HATTON RURAL,54 MACKAY EUNGELLA ROAD,FINCH HATTON ,,148.63560486100005,-21.13920608899997,148.63561199963982,-21.139193080311635
FLINDERS PEAK RURAL,9 FLINDERS - DOLOMITE ROAD,PEAK CROSSING ,,152.72193807100007,-27.789165683999954,152.72194409785268,-27.789153101226628
FORESHORES RURAL,INTREPID DRIVE,FORESHORES ,,151.49427571700005,-24.104259836999972,151.4942823039218,-24.104247105815645
FOREST PINES RURAL,ROSELLA AVENUE,THE PINES ,,150.9810460870001,-27.979649777999953,150.9810522830459,-27.979637030000543
FORSAYTH AND DISTRICT RURAL,SECOND STREET,FORSAYTH ,,143.6018558300001,-18.589007167999966,143.60186355717337,-18.58899377450768
FREESTONE AND DISTRICT RURAL,FREESTONE ROAD,WARWICK ,,152.14068973300004,-28.115159779999942,152.14069578340147,-28.115147142783297
GARGETT RURAL,OFF GARGETT SEPTIMUS ROAD,GARGETT ,,148.7417180980001,-21.15772638699997,148.74172522635166,-21.157713387256486
GATTON SPRINGDALE RURAL,GATTON-ESK ROAD,CLARENDON ,,152.3337100000001,-27.49891999999994,152.33371610505282,-27.49890737672799
GEMFIELDS RURAL,10 FLAGON ALLEY,SAPPHIRE ,,147.7195688690001,-23.465552542999944,147.7195758695337,-23.465539479528545
GEORGETOWN RURAL,GULF DEVELOPMENT ROAD,GEORGETOWN ,,143.54699063400005,-18.29018082999994,143.54699838524948,-18.29016743064315
GILSTON ADVANCETOWN RURAL,442 NERANG MURWILLUMBAH ROAD,ADVANCETOWN ,,153.28125655700012,-28.02849613199993,153.2812624921886,-28.028483607205544
GIN GIN RURAL,54 CRAWLERS ROAD,GIN GIN ,,151.95862154600002,-24.95353289899998,151.95862799259126,-24.953520218965846
GIVELDA RURAL,CORNER OF MATTS ROAD AND PINE CREEK ROAD,GIVELDA ,,152.16120716700004,-25.003158707999944,152.16121358836168,-25.003146047921575
GLADFIELD MARYVALE RURAL,CUNNINGHAM HIGHWAY,WARWICK ,,152.24563245000002,-28.059705678999933,152.24563849558365,-28.059693051542673
GLASS HOUSE MOUNTAINS RURAL,RYAN STREET,GLASS HOUSE MOUNTAINS ,,152.95838700000002,-26.89747699999998,152.95839311301876,-26.89746443373092
GLASTONBURY RURAL,BROOYAR ROAD,GLASTONBURY ,,152.51971157200012,-26.21398921399998,152.51971781410663,-26.21397659872919
GLENCOE RURAL,80 MCLEAN ROAD,DURONG ,,151.3694798470001,-26.38371415399996,151.36948618698162,-26.383701429564073
GLENMORGAN RURAL,GODFREY STREET,GLENMORGAN ,,149.67698154100003,-27.248119823999957,149.67698796379236,-27.248106953313687
