STATION,ADDRESS,LOCALITY,ALTADDRESS,CREWING,LEVYTYPE,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
INGLEWOOD,32 ALBERT ST,INGLEWOOD,,A,Class D,151.08261824700003,-28.413778586999968,151.08262438041316,-28.41376585176873
INJUNE,58 RONALD ST,INJUNE,,A,Class D,148.56296612300002,-25.845376406999947,148.56297281108158,-25.84536343078141
JIMBOOMBA,22-24 JOHANNA ST,JIMBOOMBA,,A,Class D,153.02504993700006,-27.829084313999942,153.02505592573604,-27.829071761789447
KALBAR,66 GEORGE ST,KALBAR,,A,Class D,152.6238327530001,-27.940770160999932,152.62383877159988,-27.940757569703447
KARANA DOWNS,2 COLLEGE RD,KARANA DOWNS,,P,Class A,152.80691983000008,-27.552270130999943,152.80692587732426,-27.552257554805053
KAWANA,194 NICKLIN WAY,WARANA,,A,Class A,153.1291425700001,-26.72109236999995,153.1291486872546,-26.721079819473104
KEMP PLACE,21 MARTIN STREET,FORTITUDE VALLEY,,P,Class A,153.0357795100001,-27.460617356999933,153.03578554422756,-27.46060480296136
PULLENVALE,6 PULLENVALE RD,PULLENVALE,,P,Class A,152.92151795200004,-27.521419268999978,152.92152399084475,-27.5214067039929
KILCOY,17 MCCAULEY ST,KILCOY,,A,Class D,152.56500426700006,-26.94127790899995,152.56501041584914,-26.94126530400409
KILLARNEY,29 IVY ST,KILLARNEY,,A,Class D,152.29703983800005,-28.332915137999976,152.29704584392917,-28.332902517682466
KIPPA RING,66 BOARDMAN ROAD,KIPPA RING,,P,Class A,153.08787596000002,-27.219289688999936,153.08788201909147,-27.21927713828642
KIRWAN,84 THURINGOWA DRIVE,THURINGOWA CENTRAL,,P,Class A,146.73122386500006,-19.309386331999974,146.7312313116464,-19.30937315806348
KUMBIA,16 GORDON ST,KUMBIA,,A,Class D,151.6518465250001,-26.691704569999956,151.65185279966227,-26.691691874667814
LAIDLEY,56 WILLIAM ST,LAIDLEY,,A,Class D,152.39754825600005,-27.631762213999934,152.397554337776,-27.631749598017162
LOGANLEA,739 KINGSTON RD,WATERFORD WEST,cnr Kingston and Logan Reserve Rds,P,Class A,153.12146091800003,-27.682484684999963,153.1214669148896,-27.682472141332067
LOWOOD,52 MAIN ST,LOWOOD,,A,Class D,152.5813800850001,-27.460656121999932,152.58138616805405,-27.460643522734948
MACKAY,90 SYDNEY ST,MACKAY,Corner Alfred And Sydney Sts,P,Class A,149.18622617300002,-21.14582952099994,149.18623326675961,-21.14581655847225
MAGNETIC ISLAND,54 KELLY ST,NELLY BAY,,A,Class D,146.84541790600008,-19.156357614999934,146.84542535704708,-19.15634444833014
MARYBOROUGH,98 ALICE ST,MARYBOROUGH,cnr Alice and Lennox Sts,P,Class A,152.6984427440001,-25.540276981999966,152.69844904950344,-25.54026437892941
MEANDARRA,"LOT 2, OLSER ST",MEANDARRA,cnr  Payne and Olser Sts,A,Class D,149.88065218000008,-27.323154863999946,149.88065857231348,-27.323142011719177
MIDDLEMOUNT,85 CENTENARY DR,MIDDLEMOUNT,,A,Class D,148.7024058300001,-22.808085946999938,148.70241280417528,-22.808072957727614
MILES,46 MARIAN ST,MILES,,A,Class D,150.18742049500008,-26.658738570999958,150.18742692757786,-26.65872574063897
MILLMERRAN,2 ATTLEIGH ST,MILLMERRAN,,A,Class D,151.2685376820001,-27.873735025999963,151.26854385850825,-27.873722303878825
MIRIAM VALE,65 ROE ST,MIRIAM VALE,,A,Class D,151.55494788300007,-24.326935873999957,151.55495443930548,-24.326923150370696
MISSION BEACH,4 WEBB RD,MISSION BEACH,,A,Class D,146.09217261600008,-17.90475300399993,146.0921802208568,-17.904739771265696
MITCHELL,66 MARY ST,MITCHELL,,A,Class D,147.97751171900006,-26.486178914999982,147.97751840445514,-26.486165896212444
MONTO,15 KELVIN ST,MONTO,,A,Class D,151.12311051900008,-24.86563143199993,151.12311705592936,-24.865618672340098
MOOLOOLAH,69 KING ROAD,MOOLOOLAH,,A,Class D,152.95864961300003,-26.765828547999945,152.95865574236558,-26.765815980706837
MORANBAH,13 GRIFFIN ST,MORANBAH,,A,Class D,148.045197389,-22.000701745999947,148.04520449628555,-22.000688696419157
MORVEN,29-31 EURELLA ST,MORVEN,,A,Class D,147.11249208200002,-26.416237594999927,147.11249886662412,-26.416224507837068
MOUNT OMMANEY,238 ARRABRI AV,MOUNT OMMANEY,,P,Class A,152.93643224800007,-27.54806963599998,152.93643828188436,-27.548057072694835
