,pubDate,title,description,link,geo:lat,geo:long
55,"Sat, 04 Nov 2023 09:45:11 +1100","080, Bundeena Fire Station","48 Bundeena Drive, Bundeena NSW 2230",https://www.fire.nsw.gov.au/page.php?id=9210&station=57,-34.084142,151.144662
56,"Sat, 04 Nov 2023 09:45:11 +1100","015, Burwood Fire Station","12b Livingstone Street, Burwood NSW 2134",https://www.fire.nsw.gov.au/page.php?id=9210&station=58,-33.880138,151.102183
57,"Sat, 04 Nov 2023 09:45:11 +1100","031, Busby Fire Station","101 Cartwright Avenue, Busby NSW 2168",https://www.fire.nsw.gov.au/page.php?id=9210&station=59,-33.918912,150.88452
58,"Sat, 04 Nov 2023 09:45:11 +1100","243, Byron Bay Fire Station","3 Kingsley Street, Byron Bay NSW 2481",https://www.fire.nsw.gov.au/page.php?id=9210&station=60,-28.647431,153.613338
59,"Sat, 04 Nov 2023 09:45:11 +1100","049, Cabramatta Fire Station","100 St Johns Rd, Cabramatta NSW 2166",https://www.fire.nsw.gov.au/page.php?id=9210&station=61,-33.888568,150.923161
60,"Sat, 04 Nov 2023 09:45:11 +1100","248, Camden Fire Station","129 Macarthur Road, Camden (Elderslie) NSW 2570",https://www.fire.nsw.gov.au/page.php?id=9210&station=62,-34.064581,150.711477
61,"Sat, 04 Nov 2023 09:45:11 +1100","088, Campbelltown Fire Station","66 Broughton Street, Campbeltown NSW 2560",https://www.fire.nsw.gov.au/page.php?id=9210&station=63,-34.066921,150.820235
62,"Sat, 04 Nov 2023 09:45:11 +1100","052, Campsie Fire Station","294 - 296 Beamish Street, Campsie NSW 2194",https://www.fire.nsw.gov.au/page.php?id=9210&station=64,-33.91451,151.103805
63,"Sat, 04 Nov 2023 09:45:11 +1100","250, Canowindra Fire Station","17 Ryall Street, Canowindra NSW 2804",https://www.fire.nsw.gov.au/page.php?id=9210&station=65,-33.562438,148.661702
64,"Sat, 04 Nov 2023 09:45:11 +1100","251, Cardiff Fire Station","18 Taylor Street, Cardiff NSW 2285",https://www.fire.nsw.gov.au/page.php?id=9210&station=66,-32.937691,151.658508
65,"Sat, 04 Nov 2023 09:45:11 +1100","252, Carrington Fire Station","49 - 51 Young Street, Carrington NSW 2294",https://www.fire.nsw.gov.au/page.php?id=9210&station=67,-32.912472,151.764601
66,"Sat, 04 Nov 2023 09:45:11 +1100","253, Casino Fire Station","43 Hickey Street, Casino NSW 2470",https://www.fire.nsw.gov.au/page.php?id=9210&station=68,-28.862981,153.051414
67,"Sat, 04 Nov 2023 09:45:11 +1100","071, Castle Hill Fire Station","380 Old Northern Road, Castle Hill NSW 2154",https://www.fire.nsw.gov.au/page.php?id=9210&station=69,-33.717588867066,151.018849611282
68,"Sat, 04 Nov 2023 09:45:11 +1100","254, Cessnock Fire Station","4 Edward Street, Cessnock NSW 2325",https://www.fire.nsw.gov.au/page.php?id=9210&station=70,-32.833453,151.357357
69,"Sat, 04 Nov 2023 09:45:11 +1100","255, Charlestown Fire Station","3 Charles Street, Charlestown NSW 2290",https://www.fire.nsw.gov.au/page.php?id=9210&station=71,-32.9673251855748,151.696147620678
70,"Sat, 04 Nov 2023 09:45:11 +1100","085, Chester Hill Fire Station","163 Waldron Road, Chester Hill NSW 2162",https://www.fire.nsw.gov.au/page.php?id=9210&station=72,-33.88232,150.99469
71,"Sat, 04 Nov 2023 09:45:11 +1100","001, City Of Sydney Fire Station","211-217 Castlereagh Street, Sydney NSW 2000",https://www.fire.nsw.gov.au/page.php?id=9210&station=73,-33.875049,151.208716
72,"Sat, 04 Nov 2023 09:45:11 +1100","256, Cobar Fire Station","39 Barton Street, Cobar NSW 2835",https://www.fire.nsw.gov.au/page.php?id=9210&station=74,-31.499281,145.835729
73,"Sat, 04 Nov 2023 09:45:11 +1100","257, Coffs Harbour Fire Station","9-11 Market Street, Coffs Harbour NSW 2450",https://www.fire.nsw.gov.au/page.php?id=9210&station=75,-30.299872,153.113178
